Log_Date,FROM,TO,COUNT
2016-03-21,42,70,11
2016-03-22,42,70,9
2016-03-23,42,70,13
2016-03-24,42,70,27
2016-03-25,42,70,12
2016-03-26,42,70,13
2016-03-27,42,70,31
2016-03-28,42,70,9
2016-03-29,42,70,6
2016-03-30,42,70,8
2016-03-31,42,70,4
2016-04-01,42,70,19
2016-04-02,42,70,11
2016-04-03,42,70,13
2016-04-04,42,70,8
2016-04-05,42,70,2
2016-04-06,42,70,10
2016-04-07,42,70,12
2016-04-08,42,70,7
2016-04-09,42,70,10
2016-04-10,42,70,11
2016-04-11,42,70,4
2016-04-12,42,70,7
2016-04-13,42,70,3
2016-04-14,42,70,1
2016-04-15,42,70,2
2016-04-16,42,70,7
2016-04-17,42,70,2
2016-04-18,42,70,4
2016-04-19,42,70,3
2016-04-20,42,70,7
2016-04-21,42,70,1
2016-04-22,42,70,2
2016-04-23,42,70,10
2016-04-24,42,70,7
2016-04-25,42,70,4
2016-04-26,42,70,3
2016-04-27,42,70,2
2016-04-28,42,70,2
2016-04-29,42,70,1
2016-04-30,42,70,1
2016-05-01,42,70,4
2016-05-02,42,70,4
2016-05-03,42,70,3
2016-05-04,42,70,4
2016-05-05,42,70,1
2016-05-06,42,70,4
2016-05-07,42,70,4
2016-05-08,42,70,1
2016-05-09,42,70,4
2016-05-10,42,70,4
2016-05-11,42,70,2
2016-05-13,42,70,2
2016-05-14,42,70,5
2016-05-15,42,70,8
2016-05-16,42,70,2
2016-05-17,42,70,1
2016-05-18,42,70,5
2016-05-19,42,70,1
2016-05-20,42,70,4
2016-05-21,42,70,4
2016-05-22,42,70,2
2016-05-23,42,70,5
2016-05-24,42,70,6
2016-05-25,42,70,3
2016-05-26,42,70,6
2016-05-27,42,70,1
2016-05-28,42,70,4
2016-05-29,42,70,3
2016-05-30,42,70,3
2016-05-31,42,70,2
2016-06-01,42,70,2
2016-06-02,42,70,3
2016-06-04,42,70,4
2016-06-05,42,70,3
2016-06-06,42,70,7
2016-06-07,42,70,9
2016-06-09,42,70,5
2016-06-10,42,70,2
2016-06-11,42,70,4
2016-06-12,42,70,7
2016-06-13,42,70,2
2016-06-14,42,70,6
2016-06-15,42,70,6
2016-06-16,42,70,4
2016-06-17,42,70,3
2016-06-18,42,70,5
2016-06-19,42,70,4
2016-06-20,42,70,2
2016-06-21,42,70,4
2016-06-22,42,70,4
2016-06-23,42,70,2
2016-06-24,42,70,7
2016-06-25,42,70,1
2016-06-26,42,70,5
2016-06-27,42,70,3
2016-06-28,42,70,10
2016-06-29,42,70,4
2016-06-30,42,70,1
2016-07-01,42,70,6
2016-07-02,42,70,5
2016-07-03,42,70,5
2016-07-04,42,70,2
2016-07-05,42,70,1
2016-07-06,42,70,2
2016-07-08,42,70,5
2016-07-09,42,70,3
2016-07-10,42,70,7
2016-07-11,42,70,1
2016-07-12,42,70,7
2016-07-14,42,70,3
2016-07-15,42,70,2
2016-07-16,42,70,2
2016-07-17,42,70,7
2016-07-18,42,70,6
2016-07-19,42,70,6
2016-07-20,42,70,3
2016-07-21,42,70,2
2016-07-22,42,70,3
2016-07-23,42,70,10
2016-07-24,42,70,8
2016-07-25,42,70,8
2016-07-26,42,70,14
2016-07-27,42,70,8
2016-07-28,42,70,13
2016-07-29,42,70,5
2016-07-30,42,70,4
2016-07-31,42,70,10
2016-08-01,42,70,2
2016-08-02,42,70,6
2016-08-03,42,70,8
2016-08-04,42,70,9
2016-08-05,42,70,4
2016-08-06,42,70,7
2016-08-07,42,70,9
2016-08-08,42,70,6
2016-08-09,42,70,10
2016-08-10,42,70,3
2016-08-11,42,70,8
2016-08-12,42,70,10
2016-08-13,42,70,9
2016-08-14,42,70,5
2016-08-15,42,70,15
2016-08-16,42,70,8
2016-08-17,42,70,6
2016-08-18,42,70,5
2016-08-20,42,70,8
2016-08-21,42,70,8
2016-08-22,42,70,9
2016-08-23,42,70,11
2016-08-24,42,70,8
2016-08-25,42,70,9
2016-08-26,42,70,1
2016-08-27,42,70,16
2016-08-28,42,70,7
2016-08-29,42,70,22
2016-08-30,42,70,26
2016-08-31,42,70,10
2016-09-01,42,70,8
2016-09-02,42,70,5
2016-09-03,42,70,20
2016-09-04,42,70,18
2016-09-05,42,70,12
2016-09-06,42,70,13
2016-09-07,42,70,26
2016-09-08,42,70,20
2016-09-09,42,70,12
2016-09-10,42,70,20
2016-09-11,42,70,18
2016-09-12,42,70,7
2016-09-13,42,70,16
2016-09-14,42,70,17
2016-09-15,42,70,17
2016-09-16,42,70,5
2016-09-17,42,70,25
2016-09-18,42,70,14
2016-09-19,42,70,19
2016-09-20,42,70,8
2016-09-21,42,70,9
2016-09-22,42,70,6
2016-09-23,42,70,6
2016-09-24,42,70,8
2016-09-25,42,70,9
2016-09-26,42,70,13
2016-09-27,42,70,16
2016-09-28,42,70,13
2016-09-29,42,70,8
2016-09-30,42,70,8
2016-10-01,42,70,21
2016-10-02,42,70,11
2016-10-03,42,70,18
2016-10-04,42,70,17
2016-10-05,42,70,24
2016-10-06,42,70,10
2016-10-07,42,70,8
2016-10-08,42,70,10
2016-10-09,42,70,14
2016-10-10,42,70,28
2016-10-11,42,70,6
2016-10-12,42,70,7
2016-10-13,42,70,10
2016-10-14,42,70,10
2016-10-15,42,70,11
2016-10-16,42,70,9
2016-10-17,42,70,21
2016-10-18,42,70,8
2016-10-19,42,70,25
2016-10-20,42,70,14
2016-10-21,42,70,14
2016-10-22,42,70,11
2016-10-23,42,70,14
2016-10-24,42,70,18
2016-10-25,42,70,12
2016-10-26,42,70,13
2016-10-27,42,70,12
2016-10-28,42,70,7
2016-10-29,42,70,13
2016-10-30,42,70,4
2016-10-31,42,70,11
2016-11-01,42,70,4
2016-11-02,42,70,7
2016-11-03,42,70,7
2016-11-04,42,70,4
2016-11-05,42,70,8
2016-11-06,42,70,8
2016-11-07,42,70,12
2016-11-08,42,70,4
2016-11-09,42,70,2
2016-11-10,42,70,7
2016-11-11,42,70,3
2016-11-12,42,70,12
2016-11-13,42,70,6
2016-11-14,42,70,13
2016-11-15,42,70,10
2016-11-16,42,70,12
2016-11-17,42,70,5
2016-11-18,42,70,6
2016-11-19,42,70,8
2016-11-20,42,70,3
2016-11-21,42,70,15
2016-11-22,42,70,8
2016-11-23,42,70,12
2016-11-24,42,70,12
2016-11-25,42,70,6
2016-11-26,42,70,12
2016-11-27,42,70,7
2016-11-28,42,70,6
2016-11-29,42,70,13
2016-11-30,42,70,7
2016-12-01,42,70,11
