Log_Date,FROM,TO,COUNT
2016-03-21,8,70,3
2016-03-23,8,70,1
2016-03-24,8,70,2
2016-03-27,8,70,3
2016-04-05,8,70,2
2016-04-10,8,70,1
2016-04-16,8,70,1
2016-04-17,8,70,1
2016-04-20,8,70,1
2016-04-22,8,70,2
2016-04-23,8,70,1
2016-04-24,8,70,1
2016-04-25,8,70,1
2016-04-26,8,70,1
2016-04-29,8,70,1
2016-04-30,8,70,1
2016-05-01,8,70,2
2016-05-04,8,70,1
2016-05-07,8,70,1
2016-05-11,8,70,1
2016-05-14,8,70,1
2016-05-15,8,70,1
2016-05-16,8,70,1
2016-05-17,8,70,1
2016-05-20,8,70,3
2016-05-22,8,70,1
2016-05-23,8,70,1
2016-05-25,8,70,1
2016-05-27,8,70,1
2016-05-30,8,70,1
2016-05-31,8,70,2
2016-06-06,8,70,1
2016-06-08,8,70,1
2016-06-10,8,70,1
2016-06-11,8,70,1
2016-06-12,8,70,3
2016-06-13,8,70,2
2016-06-14,8,70,1
2016-06-17,8,70,1
2016-06-20,8,70,1
2016-06-22,8,70,1
2016-06-25,8,70,2
2016-06-26,8,70,3
2016-06-28,8,70,2
2016-06-29,8,70,3
2016-07-02,8,70,1
2016-07-04,8,70,3
2016-07-05,8,70,1
2016-07-09,8,70,1
2016-07-10,8,70,3
2016-07-11,8,70,2
2016-07-13,8,70,2
2016-07-14,8,70,3
2016-07-16,8,70,4
2016-07-17,8,70,1
2016-07-19,8,70,3
2016-07-20,8,70,2
2016-07-21,8,70,1
2016-07-22,8,70,1
2016-07-23,8,70,4
2016-07-24,8,70,5
2016-07-25,8,70,3
2016-07-26,8,70,1
2016-07-27,8,70,1
2016-07-29,8,70,1
2016-07-30,8,70,1
2016-08-01,8,70,1
2016-08-02,8,70,3
2016-08-04,8,70,2
2016-08-05,8,70,1
2016-08-06,8,70,1
2016-08-07,8,70,1
2016-08-08,8,70,6
2016-08-09,8,70,2
2016-08-10,8,70,1
2016-08-12,8,70,1
2016-08-14,8,70,5
2016-08-15,8,70,1
2016-08-16,8,70,3
2016-08-17,8,70,1
2016-08-18,8,70,1
2016-08-19,8,70,1
2016-08-22,8,70,1
2016-08-23,8,70,2
2016-08-27,8,70,5
2016-08-28,8,70,1
2016-08-29,8,70,1
2016-08-30,8,70,1
2016-08-31,8,70,2
2016-09-01,8,70,4
2016-09-02,8,70,1
2016-09-03,8,70,2
2016-09-04,8,70,3
2016-09-05,8,70,1
2016-09-06,8,70,2
2016-09-07,8,70,2
2016-09-08,8,70,2
2016-09-10,8,70,4
2016-09-11,8,70,3
2016-09-12,8,70,1
2016-09-13,8,70,3
2016-09-14,8,70,1
2016-09-15,8,70,1
2016-09-16,8,70,1
2016-09-17,8,70,2
2016-09-18,8,70,2
2016-09-19,8,70,2
2016-09-20,8,70,1
2016-09-22,8,70,1
2016-09-23,8,70,1
2016-09-24,8,70,2
2016-09-25,8,70,3
2016-09-26,8,70,4
2016-09-27,8,70,3
2016-09-28,8,70,3
2016-09-30,8,70,2
2016-10-01,8,70,1
2016-10-03,8,70,3
2016-10-04,8,70,2
2016-10-06,8,70,1
2016-10-08,8,70,2
2016-10-09,8,70,1
2016-10-10,8,70,1
2016-10-11,8,70,1
2016-10-15,8,70,3
2016-10-17,8,70,4
2016-10-18,8,70,1
2016-10-21,8,70,2
2016-10-22,8,70,1
2016-10-23,8,70,1
2016-10-24,8,70,1
2016-10-25,8,70,3
2016-10-26,8,70,1
2016-10-28,8,70,1
2016-10-29,8,70,3
