Log_Date,COUNT
2016-03-21,11
2016-03-22,9
2016-03-23,13
2016-03-24,27
2016-03-25,12
2016-03-26,13
2016-03-27,31
2016-03-28,9
2016-03-29,6
2016-03-30,8
2016-03-31,4
2016-04-01,19
2016-04-02,11
2016-04-03,13
2016-04-04,8
2016-04-05,2
2016-04-06,10
2016-04-07,12
2016-04-08,7
2016-04-09,10
2016-04-10,11
2016-04-11,4
2016-04-12,7
2016-04-13,3
2016-04-14,1
2016-04-15,2
2016-04-16,7
2016-04-17,2
2016-04-18,4
2016-04-19,3
2016-04-20,7
2016-04-21,1
2016-04-22,2
2016-04-23,10
2016-04-24,7
2016-04-25,4
2016-04-26,3
2016-04-27,2
2016-04-28,2
2016-04-29,1
2016-04-30,1
2016-05-01,4
2016-05-02,4
2016-05-03,3
2016-05-04,4
2016-05-05,1
2016-05-06,4
2016-05-07,4
2016-05-08,1
2016-05-09,4
2016-05-10,4
2016-05-11,2
2016-05-12,0
2016-05-13,2
2016-05-14,5
2016-05-15,8
2016-05-16,2
2016-05-17,1
2016-05-18,5
2016-05-19,1
2016-05-20,4
2016-05-21,4
2016-05-22,2
2016-05-23,5
2016-05-24,6
2016-05-25,3
2016-05-26,6
2016-05-27,1
2016-05-28,4
2016-05-29,3
2016-05-30,3
2016-05-31,2
2016-06-01,2
2016-06-02,3
2016-06-03,0
2016-06-04,4
2016-06-05,3
2016-06-06,7
2016-06-07,9
2016-06-08,0
2016-06-09,5
2016-06-10,2
2016-06-11,4
2016-06-12,7
2016-06-13,2
2016-06-14,6
2016-06-15,6
2016-06-16,4
2016-06-17,3
2016-06-18,5
2016-06-19,4
2016-06-20,2
2016-06-21,4
2016-06-22,4
2016-06-23,2
2016-06-24,7
2016-06-25,1
2016-06-26,5
2016-06-27,3
2016-06-28,10
2016-06-29,4
2016-06-30,1
2016-07-01,6
2016-07-02,5
2016-07-03,5
2016-07-04,2
2016-07-05,1
2016-07-06,2
2016-07-07,0
2016-07-08,5
2016-07-09,3
2016-07-10,7
2016-07-11,1
2016-07-12,7
2016-07-13,0
2016-07-14,3
2016-07-15,2
2016-07-16,2
2016-07-17,7
2016-07-18,6
2016-07-19,6
2016-07-20,3
2016-07-21,2
2016-07-22,3
2016-07-23,10
2016-07-24,8
2016-07-25,8
2016-07-26,14
2016-07-27,8
2016-07-28,13
2016-07-29,5
2016-07-30,4
2016-07-31,10
2016-08-01,2
2016-08-02,6
2016-08-03,8
2016-08-04,9
2016-08-05,4
2016-08-06,7
2016-08-07,9
2016-08-08,6
2016-08-09,10
2016-08-10,3
2016-08-11,8
2016-08-12,10
2016-08-13,9
2016-08-14,5
2016-08-15,15
2016-08-16,8
2016-08-17,6
2016-08-18,5
2016-08-19,0
2016-08-20,8
2016-08-21,8
2016-08-22,9
2016-08-23,11
2016-08-24,8
2016-08-25,9
2016-08-26,1
2016-08-27,16
2016-08-28,7
2016-08-29,22
2016-08-30,26
2016-08-31,10
2016-09-01,8
2016-09-02,5
2016-09-03,20
2016-09-04,18
2016-09-05,12
2016-09-06,13
2016-09-07,26
2016-09-08,20
2016-09-09,12
2016-09-10,20
2016-09-11,18
2016-09-12,7
2016-09-13,16
2016-09-14,17
2016-09-15,17
2016-09-16,5
2016-09-17,25
2016-09-18,14
2016-09-19,19
2016-09-20,8
2016-09-21,9
2016-09-22,6
2016-09-23,6
2016-09-24,8
2016-09-25,9
2016-09-26,13
2016-09-27,16
2016-09-28,13
2016-09-29,8
2016-09-30,8
2016-10-01,21
2016-10-02,11
2016-10-03,18
2016-10-04,17
2016-10-05,24
2016-10-06,10
2016-10-07,8
2016-10-08,10
2016-10-09,14
