Log_Date,FROM,TO,COUNT
1395/01/02,3,30,3
1395/01/02,3,49,1
1395/01/02,3,66,3
1395/01/02,3,70,9
1395/01/02,6,49,3
1395/01/02,6,70,4
1395/01/02,8,70,3
1395/01/02,10,11,6
1395/01/02,10,15,1
1395/01/02,10,30,11
1395/01/02,10,49,1
1395/01/02,10,66,1
1395/01/02,10,70,73
1395/01/02,11,15,3
1395/01/02,11,49,3
1395/01/02,11,70,15
1395/01/02,13,66,3
1395/01/02,14,70,1
1395/01/02,15,10,1
1395/01/02,15,11,2
1395/01/02,15,30,1
1395/01/02,15,49,1
1395/01/02,15,58,3
1395/01/02,15,66,5
1395/01/02,15,70,10
1395/01/02,16,70,8
1395/01/02,20,70,4
1395/01/02,22,49,1
1395/01/02,22,70,4
1395/01/02,24,30,2
1395/01/02,24,70,7
1395/01/02,30,3,2
1395/01/02,30,10,2
1395/01/02,30,15,1
1395/01/02,30,37,1
1395/01/02,30,42,2
1395/01/02,30,70,8
1395/01/02,32,70,4
1395/01/02,36,70,1
1395/01/02,37,70,1
1395/01/02,39,70,2
1395/01/02,41,70,2
1395/01/02,42,70,11
1395/01/02,45,70,10
1395/01/02,47,70,2
1395/01/02,49,3,1
1395/01/02,49,10,6
1395/01/02,49,15,2
1395/01/02,49,24,1
1395/01/02,49,37,2
1395/01/02,49,66,3
1395/01/02,49,67,2
1395/01/02,49,70,44
1395/01/02,49,75,7
1395/01/02,49,76,2
1395/01/02,51,10,1
1395/01/02,53,49,1
1395/01/02,53,70,12
1395/01/02,56,10,1
1395/01/02,58,70,1
1395/01/02,59,70,1
1395/01/02,61,70,2
1395/01/02,63,66,2
1395/01/02,63,70,1
1395/01/02,65,70,2
1395/01/02,66,3,1
1395/01/02,66,10,1
1395/01/02,66,15,6
1395/01/02,66,30,1
1395/01/02,66,37,2
1395/01/02,66,49,2
1395/01/02,66,58,1
1395/01/02,66,70,30
1395/01/02,66,76,2
1395/01/02,67,15,1
1395/01/02,67,30,1
